151,"Alan Rudolph","1943-12-18",""
152,"Alan Shapiro","",""
153,"Alan Taylor","",""
154,"Alan Van Sprang","1971-06-19",""
155,"Alan Williams","",""
156,"Alan Young","1919-11-19","2016-05-19"
157,"Alan Yuen","",""
158,"Alana Kaniewski","",""
159,"Alanna Ubach","1975-10-03",""
160,"Alastair Duncan","",""
161,"Alba Rohrwacher","1979-02-27",""
162,"Albert Brooks","1947-07-22",""
163,"Albert Delpy","1941-09-13",""
164,"Albert Dupontel","1964-01-11",""
165,"Albert Finney","1936-05-09",""
166,"Albert Hughes","1972-04-01",""
167,"Albert Maysles","1926-11-26","2015-03-05"
168,"Albert Salmi","1928-03-11","1990-04-22"
169,"Alden Ehrenreich","1989-11-22",""
170,"Aldis Hodge","1986-09-20",""
171,"Aldo Sambrell","1931-02-23","2010-07-10"
172,"Alec Asten","",""
173,"Alejandro Agresti","1961-06-02",""
174,"Alejandro AmenÃ¡bar","1972-03-31",""
175,"Alejandro Furth","",""
176,"Alejandro G. IÃ±Ã¡rritu","1963-08-15",""
177,"Alejandro Monteverde","1977-07-13",""
178,"Aleksa Palladino","1980-09-21",""
179,"Aleksandr Bashirov","1955-09-24",""
180,"Aleksandr Veledinskiy","1959-07-27",""
181,"Aleksey Chadov","1981-09-02",""
182,"Aleksey German","1976-09-04",""
183,"Aleksey Serebryakov","1964-06-03",""
184,"Alessandra Mastronardi","1986-02-18",""
185,"Alessandro Carloni","",""
186,"Alessandro Nivola","1972-06-28",""
187,"Alessandro Preziosi","1973-04-19",""
188,"Ãlex Angulo","1953-04-12","2014-07-20"
189,"Alex Borstein","1973-02-15",""
190,"Alex Cox","1954-12-15",""
191,"Alex Craig Mann","",""
192,"Ãlex de la Iglesia","1965-12-04",""
193,"Alex DÃ©sert","1968-07-18",""
194,"Alex Emanuel","",""
195,"Alex Garland","1970-05-26",""
196,"Alex Gibney","1953-10-23",""
197,"Alex Huszar","",""
198,"Alex Jennings","1957-05-10",""
199,"Alex Karpovsky","",""
200,"Alex Kendrick","",""
201,"Alex Lawther","",""
202,"Alex Macqueen","",""
203,"Alex McArthur","1957-03-06",""
204,"Alex Meraz","1985-01-10",""
205,"Alex Pettyfer","1990-04-10",""
206,"Alex Proyas","1963-09-23",""
207,"Alex Ranarivelo","",""
208,"Alex Rivera","",""
209,"Alex Rocco","1936-02-29","2015-07-18"
210,"Alex Russell","1987-12-11",""
211,"Alex Sanborn","",""
212,"Alex Smith","",""
213,"Alex van Warmerdam","1952-08-14",""
214,"Alex Veadov","1962-04-15",""
215,"Alex Vincent","1981-04-29",""
216,"Alex Winter","",""
217,"Alex Zamm","",""
218,"Alexa Davalos","1982-05-28",""
219,"Alexa Havins","1980-11-16",""
220,"Alexa PenaVega","1988-08-27",""
221,"Alexander Gould","1994-05-04",""
222,"Alexander Payne","1961-02-10",""
223,"Alexander SkarsgÃ¥rd","1976-08-25",""
224,"Alexander Vlahos","",""
225,"Alexander Witt","",""
226,"Alexander Wraith","1979-06-29",""
227,"Alexandra Breckenridge","1982-05-15",""
228,"Alexandra Callas","",""
229,"Alexandra Holden","1977-04-30",""
230,"Alexandra Maria Lara","1978-11-12",""
231,"Alexandra Rapaport","1971-12-26",""
232,"Alexandra Silber","1983-07-03",""
233,"Alexandre Aja","1978-08-07",""
234,"Alexandre Rodrigues","1983-05-21",""
235,"Alexandru Potocean","1984-04-21",""
236,"Alexia Fast","1992-09-12",""
237,"Alexia Rasmussen","",""
238,"Alexis Arquette","1969-07-28","2016-09-11"
239,"Alexis Biesiada","",""
240,"Alexis Dziena","1984-07-08",""
241,"Alexis Kendra","",""
242,"Alfie Allen","1986-09-12",""
243,"Alfonso CuarÃ³n","1961-11-28",""
244,"Alfre Woodard","1952-11-08",""
245,"Alfred Enoch","1988-12-02",""
246,"Alfred Hitchcock","1899-08-13","1980-04-29"
247,"Ali Daniels","1963-06-13",""
248,"Ali Hillis","1978-12-29",""
249,"Alia Shawkat","1989-04-18",""
250,"Alice Braga","1983-04-15",""
251,"Alice Cooper","1948-02-04",""
252,"Alice Englert","1994-06-15",""
253,"Alice Evans","",""
254,"Alice Greczyn","1986-02-06",""
255,"Alice Krige","1954-06-28",""
256,"Alice Olivia Clarke","",""
257,"Alice Playten","1947-08-28","2011-06-25"
258,"Alice Pol","",""
259,"Alice Wu","1970-04-21",""
260,"Alicia Goranson","1974-06-22",""
261,"Alicia Keys","1981-01-25",""
262,"Alicia Sixtos","1988-05-27",""
263,"Alicia Witt","1975-08-21",""
264,"Alicia Ziegler","1981-05-02",""
265,"Alicja Bachleda","1983-05-12",""
266,"Aliou TourÃ©","",""
267,"Alisha Boe","1997-03-06",""
268,"Alison Brie","1982-12-29",""
269,"Alison Chand","",""
270,"Alison Doody","1966-11-11",""
271,"Alison Lohman","1979-09-18",""
272,"Alison Maclean","",""
273,"Alissa Dean","",""
274,"Alister Grierson","",""
275,"Alix Freihage","",""
276,"Allan Arkush","1948-04-30",""
277,"Allan Dwan","1885-04-03","1981-12-28"
278,"Allegra Carpenter","",""
279,"Allen Coulter","",""
280,"Allen Covert","1964-10-13",""
281,"Allen Hughes","1972-04-01",""
282,"Allen Leech","1981-05-18",""
283,"Allen Payne","1968-07-07",""
284,"Allison Anders","1954-11-16",""
285,"Allison Burnett","",""
286,"Allison Dean","",""
287,"Allison Miller","1985-09-02",""
288,"Allison Tolman","1981-11-18",""
289,"Ally Sheedy","1962-06-13",""
290,"Ally Walker","1961-08-25",""
291,"Alma Martinez","1953-03-18",""
292,"Alona Tal","1983-10-20",""
293,"Alonna Shaw","",""
294,"Alun Armstrong","1946-07-17",""
295,"Alycia Debnam-Carey","",""
296,"Alyson Hannigan","1974-03-24",""
297,"Alyson Stoner","1993-08-11",""
298,"Amal Al-Agroobi","",""
299,"Amanda Detmer","1971-09-27",""
300,"Amanda Gusack","",""
301,"Amanda Kearsan","",""
302,"Amanda MacDonald","",""
303,"Amanda Mealing","1967-04-22",""
304,"Amanda Plummer","1957-03-23",""
305,"Amanda Redman","1957-08-12",""
306,"Amanda Schull","1978-08-26",""
307,"Amanda Tilson","",""
308,"Amanda Troop","",""
309,"Amanda Wyss","1960-11-24",""
310,"Amat Escalante","1979-02-28",""
311,"Amber Armstrong","",""
312,"Amber Benson","1977-01-08",""
313,"Amber Marie Bollinger","",""
314,"Amber Marshall","1988-06-02",""
315,"Amber Rose Revah","1986-06-24",""
316,"Amber Stevens West","1986-10-07",""
317,"Amber Valletta","1974-02-09",""
318,"Amelia Giancarlo","",""
319,"Amelia Warner","1982-06-04",""
320,"America Ferrera","1984-04-18",""
321,"America Olivo","1978-01-05",""
322,"Ami Ayalon","",""
323,"Amiah Miller","",""
324,"Amidou","1935-08-02","2013-09-19"
325,"Amir Farrokh Hashemian","",""
326,"Amir Talai","1977-06-24",""
327,"Aml Ameen","1985-07-30",""
328,"Amos Oz","1939-05-04",""
329,"Amr Waked","1973-04-12",""
330,"Amrish Puri","1932-06-22","2005-01-12"
331,"Amy Badberg","",""
332,"Amy Brenneman","1964-06-22",""
333,"Amy Bruni","",""
334,"Amy Carson","",""
335,"Amy Hargreaves","1970-01-27",""
336,"Amy Heckerling","1952-05-07",""
337,"Amy Hill","1953-05-09",""
338,"Amy Holden Jones","",""
339,"Amy Irving","1953-09-10",""
340,"Amy Locane","1971-12-19",""
341,"Amy Lucas","",""
342,"Amy Madigan","1950-09-11",""
343,"Amy Poehler","1971-09-16",""
344,"Amy Ryan","1968-05-03",""
345,"Amy Schumer","1981-06-01",""
346,"Amy Sedaris","1961-03-29",""
347,"Amy Steel","1960-05-03",""
348,"Amy Stewart","",""
349,"Amy Warren","",""
350,"Amy Yasbeck","1962-09-12",""
351,"Ana Claudia TalancÃ³n","1980-05-01",""
352,"Ana de la Reguera","1977-04-08",""
353,"Ana Gasteyer","1967-05-04",""
354,"Ana Imnadze","",""
355,"Ana Maria Guran","1995-10-06",""
356,"Ana Vatamanu","",""
357,"Analeine Cal y Mayor","",""
358,"Anamaria Marinca","1978-04-01",""
359,"Anand Tucker","1963-06-24",""
360,"Anatoliy Solonitsyn","1934-08-30","1982-06-11"
361,"Anders Holm","",""
362,"Andre Braugher","1962-07-01",""
363,"AndrÃ© Dussollier","1946-02-17",""
364,"AndrÃ© Ã˜vredal","",""
365,"AndrÃ© Ramiro","1981-01-14",""
366,"AndrÃ© TÃ©chinÃ©","",""
367,"AndrÃ© the Giant","1946-05-19","1993-01-27"
368,"AndrÃ© Wilms","",""
369,"Andrea Arnold","1961-04-05",""
370,"Andrea Corr","1960-12-12",""
371,"Andrea Di Stefano","1972-12-15",""
372,"Andrea Frankle","",""
373,"Andrea Martin","1947-01-15",""
374,"Andrea Ros","1993-05-03",""
375,"Andrea Savage","1973-02-20",""
376,"Andrea Vergara","1984-11-10",""
377,"Andrei Tarkovsky","1932-04-04","1986-12-29"
378,"Andrej Nahtigal","1942-09-04",""
379,"AndrÃ©s Couturier","1977-02-05",""
380,"AndrÃ©s Montiel","1975-01-30",""
381,"AndrÃ©s Muschietti","",""
382,"Andrew Adamson","1966-12-01",""
383,"Andrew Airlie","1961-09-18",""
384,"Andrew Berends","",""
385,"Andrew Bergman","1945-02-20",""
386,"Andrew Bryniarski","1969-02-13",""
387,"Andrew Bujalski","",""
388,"Andrew Currie","",""
389,"Andrew Daly","1971-04-15",""
390,"Andrew Davis","1946-11-21",""
391,"Andrew Dice Clay","1957-09-29",""
392,"Andrew Dominik","1967-10-07",""
393,"Andrew Douglas","",""
394,"Andrew Erwin","",""
395,"Andrew Fiscella","1966-05-25",""
396,"Andrew Fleming","1965-12-30",""
397,"Andrew Garfield","1983-08-20",""
398,"Andrew Haigh","",""
399,"Andrew Hyatt","1982-08-19",""
400,"Andrew Jarecki","",""
401,"Andrew Keegan","1979-01-29",""
402,"Andrew Keir","1926-04-03","1997-10-05"
403,"Andrew Lawrence","1966-08-11",""
404,"Andrew Leman","",""
405,"Andrew Morahan","",""
406,"Andrew Niccol","1964-06-10",""
407,"Andrew Rannells","1978-08-23",""
408,"Andrew Robinson","1942-02-14",""
409,"Andrew Simpson","",""
410,"Andrew Stanton","1965-12-03",""
411,"Andrew Steggall","",""
412,"Andrew Traucki","",""
413,"Andrew Wilson","",""
414,"Andrey Konchalovskiy","1937-08-20",""
415,"Andrey Zvyagintsev","1964-02-06",""
416,"Andrucha Waddington","",""
417,"Andrzej Bartkowiak","1950-03-06",""
418,"Andy Cadiff","",""
419,"Andy Cohn","",""
420,"Andy Davoli","1973-09-02",""
421,"Andy Dick","1965-12-21",""
422,"Andy Fickman","",""
423,"Andy Garcia","1956-04-12",""
424,"Andy Lau","1961-09-27",""
425,"Andy On","1977-05-11",""
426,"Andy Richter","1966-10-28",""
427,"Andy Tennant","1955-06-15",""
428,"Ane Dahl Torp","1975-08-01",""
429,"Anella Vastola","",""
430,"Ang Lee","1954-10-23",""
431,"Angel Coulby","1980-08-30",""
432,"Angel David","",""
433,"Angela Bettis","1973-01-09",""
434,"Angela Cartwright","1952-09-09",""
435,"Angela Featherstone","1965-04-03",""
436,"Angela Jones","",""
437,"Ãngela Molina","1955-10-05",""
438,"Angela Nordeng","",""
439,"Angela Robinson","1971-02-14",""
440,"Angela Sarafyan","1983-06-30",""
441,"Angelica Lee","1976-01-23",""
442,"AngÃ©lica Sancio","",""
443,"Angeliki Papoulia","",""
444,"Angelina Armani","1987-11-18",""
445,"Angelina Jolie Pitt","1975-06-04",""
446,"Angell Conwell","1983-08-02",""
447,"Angelo Anthony Pizza","",""
448,"Angelo Pizzo","",""
449,"Angelo Rossitto","1908-02-18","1991-09-21"
450,"Angelo Tsarouchas","",""
451,"Angie Dickinson","1931-09-30",""
452,"Angus Barnett","",""
453,"Angus Macfadyen","1963-09-21",""
454,"Angus Sampson","1979-02-12",""
455,"Angus Scrimm","1926-08-19","2016-01-09"
456,"Angus T. Jones","1993-10-08",""
457,"Anika Noni Rose","1972-09-06",""
458,"Anil Kapoor","1956-12-24",""
459,"Anil Kumar","",""
460,"Anita Briem","1982-05-29",""
461,"Anita Mui","1963-10-10","2003-12-30"
462,"Anita Page","1910-08-04","2008-09-06"
463,"Anjelica Huston","1951-07-08",""
464,"Ann Dowd","1956-01-30",""
465,"Ann Gillis","1927-02-12",""
466,"Ann Miller","1923-04-12","2004-01-22"
467,"Ann Morgan Guilbert","1928-10-16","2016-06-14"
468,"Ann Talman","1957-09-13",""
469,"Ann-Margret","1941-04-28",""
470,"Anna Boden","",""
471,"Anna Friel","1976-07-12",""
472,"Anna Gunn","1968-08-11",""
473,"Anna Harr","",""
474,"Anna Karina","1940-09-22",""
475,"Anna Katarina","",""
476,"Anna Katharina Schwabroh","",""
477,"Anna Kendrick","1985-08-09",""
478,"Anna Madeley","",""
479,"Anna Mastro","",""
480,"Anna Muylaert","1964-04-21",""
481,"Anna Nakagawa","1965-08-30","2014-10-17"
482,"Anna Silk","1974-01-31",""
483,"Anna Vareschi","",""
484,"Anna-Louise Plowman","1972-05-09",""
485,"Annabel Jankel","1955-08-01",""
486,"Annabella Sciorra","1960-03-29",""
487,"Annabelle Wallis","",""
488,"Annabeth Gish","1971-03-13",""
489,"Anne Archer","1947-08-24",""
490,"Anne Bancroft","1931-09-17","2005-06-06"
491,"Anne Fletcher","1966-05-01",""
492,"Anne Fontaine","1959-07-15",""
493,"Anne Hathaway","1982-11-12",""
494,"Anne Heche","1969-05-25",""
495,"Anne Meara","1929-09-20","2015-05-23"
496,"Anne Parillaud","1960-05-06",""
497,"Anne-Marie Duff","1970-10-08",""
498,"Anneliese van der Pol","1984-09-23",""
499,"Annelyse Ahmad","",""
500,"Annet Mahendru","",""
501,"Annette Badland","1950-08-26",""
502,"Annie Golden","1951-10-19",""
503,"Annie Parisse","1975-07-31",""
504,"Anslem Richardson","",""
505,"Anthony 'Citric' Campos","",""
506,"Anthony Bell","",""
507,"Anthony Burrell","",""
508,"Anthony Chau-Sang Wong","1961-09-02",""
509,"Anthony Daniels","",""
510,"Anthony Edwards","1962-07-19",""
511,"Anthony Heald","1954-02-20",""
512,"Anthony Hemingway","",""
513,"Anthony Hickox","",""
514,"Anthony Hopkins","1937-12-31",""
515,"Anthony Johnson","",""
516,"Anthony L. Fernandez","",""
517,"Anthony LaPaglia","1959-01-31",""
518,"Anthony Mann","1906-06-30","1967-04-29"
519,"Anthony Minghella","1954-01-06","2008-03-18"
520,"Anthony O'Brien","",""
521,"Anthony Powell","1935-06-02",""
522,"Anthony Reynolds","1968-05-08",""
523,"Anthony Russo","1977-01-31",""
524,"Anthony Silverston","",""
525,"Anthony Simcoe","1969-06-07",""
526,"Anthony Vallone","",""
527,"Anthony Zerbe","1936-05-20",""
528,"Antoine Fuqua","1966-01-19",""
529,"Anton Corbijn","1955-05-20",""
530,"Antoni Corone","",""
531,"Antonia Bird","1951-05-27","2013-10-24"
532,"Antonia Thomas","1986-11-03",""
533,"Antonio ArruÃ©","",""
534,"Antonio Banderas","1960-08-10",""
535,"Antonio de la Torre","1968-01-18",""
536,"Antonio Sabato Jr.","1972-02-29",""
537,"Antonio Simoncini","",""
538,"Antony Hoffman","",""
539,"Antony Starr","1975-10-25",""
540,"Anupam Kher","1955-03-07",""
541,"Anurag Basu","",""
542,"Anushka Shetty","1981-11-07",""
543,"Anwar Congo","",""
544,"April Winchell","1960-01-04",""
545,"Ara Celi","1967-06-19",""
546,"Aramis Knight","1999-10-03",""
547,"Arben Bajraktaraj","",""
548,"Arcelia RamÃ­rez","1967-12-07",""
549,"Archie Kao","1969-12-14",""
550,"Archie Panjabi","1972-05-31",""
551,"Aretha Franklin","1942-03-25",""
552,"Ari Folman","1962-12-17",""
553,"Ari Gold","",""
554,"Ari Graynor","1983-04-27",""
555,"Ari Kirschenbaum","",""
556,"Ari Sandel","",""
557,"Aria Noelle Curzon","1987-12-08",""
558,"Ariana Neal","",""
559,"Ariana Richards","1979-09-11",""
560,"Ariane Labed","",""
561,"Ariane Schluter","1966-02-01",""
562,"Arie Posin","",""
563,"Ariel Gade","1997-05-01",""
564,"Ariel Hsing","",""
565,"Ariel Vromen","1973-02-14",""
566,"Aries Spears","1975-04-03",""
567,"Arik Ascherman","",""
568,"Arjun Rampal","1972-11-26",""
569,"Arjun Sablok","",""
570,"Arliss Howard","1954-10-18",""
571,"Arly Jover","1971-02-02",""
572,"Armando Riesco","1977-12-05",""
573,"Armin Mueller-Stahl","1930-12-17",""
574,"Armin Rohde","1955-04-04",""
575,"Armin Shimerman","1949-11-05",""
576,"Art Carney","1918-11-04","2003-11-09"
577,"Art Hindle","1948-07-21",""
578,"Art Malik","1952-11-13",""
579,"Arthur Agee","1972-11-22",""
580,"Arthur Hiller","1923-11-22","2016-08-17"
581,"Arthur O'Connell","1908-03-29","1981-05-18"
582,"Arturo Castro","1955-12-19",""
583,"Artyom Bogucharskiy","1989-08-14",""
584,"Aryana Engineer","2001-03-06",""
585,"Asger Leth","",""
586,"Asghar Farhadi","",""
587,"Ash Baron-Cohen","",""
588,"Ash Brannon","",""
589,"Ash Cook","",""
590,"Ashanti","1980-10-13",""
591,"Ashish R. Mohan","",""
592,"Ashleigh Gryzko","",""
593,"Ashley Ashida Dixon","",""
594,"Ashley Bell","1986-05-26",""
595,"Ashley Gerasimovich","",""
596,"Ashley Hinshaw","1988-12-11",""
597,"Ashley Laurence","1966-05-28",""
598,"Ashley Martin","",""
599,"Ashley Palmer","1978-11-13",""
600,"Ashley Rickards","1992-05-04",""
601,"Ashley Scott","1977-07-13",""
602,"Ashley Tramonte","",""
603,"Ashley Walters","1982-06-30",""
604,"Ashley Williams","1978-11-12",""
605,"Ashraf Barhom","",""
606,"Asin","1985-10-26",""
607,"Athina Rachel Tsangari","1966-04-02",""
608,"Ato Essandoh","1972-07-29",""
609,"Atom Egoyan","1960-07-19",""
610,"Atsuko Maeda","1991-07-10",""
611,"Atticus Shaffer","1998-06-19",""
612,"Aubrey Poo","",""
613,"Audrey Fleurot","1977-07-06",""
614,"Audrey Wells","1960-04-29",""
615,"August Diehl","1976-01-04",""
616,"Augustus Prew","1987-09-17",""
617,"Aunjanue Ellis","1969-02-21",""
618,"Austin Lyon","",""
619,"Austin Nichols","1980-04-24",""
620,"Austin O'Brien","1981-05-11",""
621,"Austin Pendleton","1940-03-27",""
622,"Ava Acres","",""
623,"Ava DuVernay","1972-08-24",""
624,"Ava Gardner","1922-12-24","1990-01-25"
625,"Avery Schreiber","1935-04-09","2002-01-07"
626,"Avi Nesher","",""
627,"Ayan Mukerji","",""
628,"Ayelet Zurer","1969-06-28",""
629,"Ayesha Omar","1981-10-12",""
630,"Ayla Kell","1990-10-07",""
631,"Ayush Mahesh Khedekar","",""
632,"Aziz Muradillayev","",""
633,"Azura Skye","1981-11-08",""
634,"B.J. Novak","1979-07-31",""
635,"Babak Najafi","1975-09-14",""
636,"Babar Ahmed","",""
637,"Bahare Seddiqi","",""
638,"Bai Ling","",""
639,"Bailee Madison","1999-10-15",""
640,"Balinese Tari Legong Dancers","",""
641,"BÃ¡lint PÃ©ntek","",""
642,"Baltasar KormÃ¡kur","1966-02-27",""
643,"Balthazar Getty","1975-01-22",""
644,"Bam Margera","1979-09-28",""
645,"Barack Obama","1961-08-04",""
646,"Barbara Bach","1947-08-27",""
647,"Barbara Billingsley","1915-12-22","2010-10-16"
648,"Barbara Carrera","1945-12-31",""
649,"BÃ¡rbara Goenaga","1983-07-20",""
650,"Barbara Hershey","1948-02-05",""
651,"Barbara Kowalcyk","",""
652,"BÃ¡rbara Mori","1978-02-02",""
653,"Barbet Schroeder","1941-08-26",""
654,"Barbie Castro","",""
655,"Barbra Streisand","1942-04-24",""
656,"Bari Hyman","",""
657,"Barnard Hughes","1915-07-16","2006-07-11"
658,"Barney Clark","1973-12-13",""
659,"Barney Frank","1940-03-31",""
660,"Barret Oliver","1973-08-24",""
661,"Barrett Esposito","",""
662,"Barry Bostwick","1945-02-24",""
663,"Barry Cook","",""
664,"Barry Corbin","1940-10-16",""
665,"Barry Dennen","1938-02-22",""
666,"Barry Fitzgerald","1888-03-10","1961-01-14"
667,"Barry Levinson","1942-04-06",""
668,"Barry Lynch","1959-08-28",""
669,"Barry Shabaka Henley","1954-09-15",""
670,"Barry Skolnick","1966-10-08",""
671,"Barry Sonnenfeld","1953-04-01",""
672,"Barry W. Blaustein","",""
673,"Barry Watson","1974-04-23",""
674,"Bart Freundlich","1970-01-17",""
675,"Bart Shatto","1965-02-23",""
676,"Bart the Bear","",""
677,"Bashar Rahal","1974-10-20",""
678,"Basher Savage","",""
679,"Basil Rathbone","1892-06-13","1967-07-21"
680,"Baz Luhrmann","1962-09-17",""
681,"BÃ©atrice Bonifassi","",""
682,"BÃ©atrice Dalle","1964-12-19",""
683,"Beatrice Ntuba","",""
684,"Beatrice Straight","1914-08-02","2001-04-07"
685,"Beau Bridges","1941-12-09",""
686,"Beau Garrett","1982-12-28",""
687,"Beau Knapp","",""
688,"Beau Mirchoff","1989-01-13",""
689,"Bebe Neuwirth","1958-12-31",""
690,"Becky Smith","",""
691,"Beeban Kidron","1961-05-02",""
692,"Behrouz Vossoughi","",""
693,"BelÃ©n Rueda","1965-03-16",""
694,"Bella Heathcote","1987-05-27",""
695,"Bella Thorne","1997-10-08",""
696,"Ben Affleck","1972-08-15",""
697,"Ben Browder","1962-12-11",""
698,"Ben Chaplin","1970-07-31",""
699,"Ben Crompton","",""
700,"Ben Cross","1947-12-16",""
701,"Ben Daniels","1964-06-10",""
702,"Ben Davies","",""
703,"Ben Diskin","1982-08-25",""
704,"Ben Falcone","",""
705,"Ben Feldman","1980-05-27",""
706,"Ben Gazzara","1930-08-28","2012-02-03"
707,"Ben Johnson","1918-06-13","1996-04-08"
